query_id,answer
79,4219 2865 1966 4384 2646 4387 4361 4400 4218 2886
80,1951 4214 3861 4395 4219 1966 1907 4308 4389 4320
81,4219 2646 2865 1966 4384 4400 4234 4361 4308 4214
82,4219 4400 2646 4308 1966 4532 4234 4403 1951 1899
83,4234 1951 4219 4214 4400 4361 2646 4396 1909 4387
84,4234 4400 1966 4384 2865 2646 4219 4451 4308 4214
85,2646 4219 4234 1966 1951 4214 4400 4395 4361 4396
86,1951 3467 4234 1958 2646 4387 2698 4219 4328 4214
87,4361 4234 2646 1951 4219 2865 4384 1966 1909 4400
88,1951 3467 4234 2698 4219 4451 4286 2646 4214 4400
89,1951 4234 3467 4219 4328 2698 4214 4286 4396 4133
90,2865 4219 1966 2646 4384 4400 4387 4361 2831 4218
91,4219 2646 1951 4234 4214 2665 1966 4308 4009 1923
92,4362 4234 1951 4433 2196 4328 4214 4219 4396 1899
93,4219 4387 2865 1958 4384 2646 1966 4400 4178 4308
94,3147 4219 4384 2646 4403 4214 1951 4361 4400 2943
95,1951 3467 4328 4234 4286 4214 4396 4308 4320 3861
96,4219 4234 1951 1958 4384 4400 4387 1966 2865 2831
97,2646 1966 4400 4403 2865 4219 1958 4387 1951 4234
98,1951 4214 4234 3467 2698 4328 1909 1899 4219 1901
99,4219 4387 1958 2646 4234 2865 4361 4400 1909 1966
100,4328 4286 4396 1951 4219 4234 4214 1909 1907 4308
101,4219 4400 2865 2646 1966 4384 2831 4387 4214 4234
102,4214 4451 2698 4219 4395 2646 4361 1966 3995 4384
103,4219 2646 4396 2865 4214 1951 1966 4395 4308 4361
104,4219 2865 4400 4384 1966 4387 4440 2646 1958 4389
105,4219 2646 4384 4308 1966 4328 4440 2865 4387 4389
106,4219 2646 4361 2865 4234 4532 4451 3861 2894 3254
107,1909 4286 4308 4234 4219 1958 4384 1918 4400 4178
108,1951 4308 4219 4234 4440 2646 4400 4395 4389 4532
109,4361 2646 4234 4219 2865 4384 4308 4328 1966 1951
110,4219 2646 4308 2865 4234 4400 4361 4328 1899 2191
111,4219 4361 2646 2865 4234 4387 4384 4308 4389 4440
112,4219 2646 4400 2865 1966 4440 4389 4384 4387 4214
113,1951 4234 4219 4214 2698 2646 2865 3467 1909 2665
114,4219 4395 2646 4214 4440 4384 4389 2865 4400 4387
115,4395 1951 4214 1909 4440 4234 4424 1842 4286 2865
116,4219 2646 4389 1951 4214 4308 4400 2511 4395 3843
117,1909 4234 4286 4396 4328 4403 1958 4387 3261 1951
118,4219 4440 2646 4395 4389 2865 4384 4308 3565 1951
119,4219 2646 4234 1951 4384 4328 4308 1966 2865 4214
120,4384 2646 4389 4219 4440 2943 2865 1951 3565 1966
121,4384 4312 2646 4219 4313 4389 3077 4440 2865 1966
122,4451 4234 2698 4214 1951 4286 3478 3565 4218 4219
123,4219 2646 4400 1966 2865 4384 4234 4361 1951 4440
124,1909 4234 4308 4328 4400 1951 1907 4286 4219 2865
125,4219 4440 4384 2646 2661 1958 4387 2865 4395 1966
126,4328 1951 4234 4396 1907 1909 3565 4219 4361 4133
127,4361 4362 4384 4433 4219 4234 2646 2865 2196 4214
128,4219 2646 4400 4384 1966 2831 4387 4361 4214 4234
129,4219 4234 4308 4400 4328 2646 4361 4403 4396 4387
130,4219 1951 2646 4234 4361 2865 4389 4400 4387 4384
131,4440 4219 2646 4384 1951 2894 4214 2222 2886 2865
132,4219 4234 3261 4361 1951 4396 4328 2646 4214 4286
133,4308 4234 1951 4396 4361 4214 4400 4403 2698 1958
134,4328 4234 1909 4308 4396 1951 4219 4318 1966 1948
135,4387 4219 4400 2646 1966 1958 2865 4384 2886 2831
136,1966 4219 2646 4384 4400 4234 4395 1951 4285 4451
137,4219 4234 4308 2646 4403 1951 4361 4396 1909 4214
138,3147 4440 4219 1951 3256 3261 2886 3254 4234 2857
139,4219 2646 4308 1951 4234 4328 4396 1899 2865 4214
140,4219 4395 2646 4214 4384 2865 4389 1951 1966 1909
141,4234 1909 4328 4387 4219 4214 4403 4451 2698 3995
142,2865 4219 1966 2646 4384 4400 4387 2831 4389 4218
143,1951 4219 4234 4308 4214 2646 4400 4328 3467 4320
144,4219 4389 2646 4440 4361 1909 4234 3565 4384 4403
145,4362 1951 2698 4234 2196 4433 4214 4286 4396 1901
146,4219 1951 2646 4234 4400 1958 4361 4286 4387 2865
147,4219 4387 1966 2646 4384 4440 2865 1958 4361 1951
148,4219 2865 2646 1966 4234 4384 4361 1951 4308 4400
149,4219 2865 2646 4400 4361 1958 4384 4387 4234 2886
150,4234 1951 4283 4219 3467 4451 4440 4308 2072 2943
151,2646 4400 1966 4219 2865 4403 4384 4361 2831 4234
152,4219 2646 4387 1966 4384 4361 2865 2943 4440 1958
153,1907 4328 1951 4234 2665 3467 4214 2698 4286 4400
154,4328 4396 4286 4234 1909 3467 1907 4403 4532 4308
155,4219 2646 4400 4403 4234 4384 1966 4387 1951 4361
156,4219 2865 4400 2646 1966 1951 4384 4234 4328 4214
157,4219 1966 4384 2865 4400 4440 2646 1951 2894 1909
158,1951 2665 4214 3467 2698 4234 2865 4286 4219 4395
159,4219 2646 1966 2865 4384 4400 1958 4387 4361 4214
160,1909 4328 4234 1958 4396 4361 1918 4387 1907 4286
161,2665 4214 4219 4328 4396 1951 4361 4234 4395 1909
162,4219 2646 1951 4384 4234 2865 4400 1966 4387 4328
163,1951 4214 4328 2698 4234 4286 4396 4308 2646 4219
164,4234 4400 2646 1966 4219 1951 2865 4214 4440 4361
165,4219 2646 2865 1966 4384 1951 4234 4440 4361 4387
166,4234 1951 4328 4451 4286 4308 3467 1909 4400 2698
167,4400 4219 2865 1966 4387 2646 2831 4384 4532 4234
168,1951 4234 1958 1907 4403 2646 4400 4387 2698 2865
169,4219 2865 4400 2646 1966 1951 4234 2831 4387 4403
170,4219 1958 4387 2646 4361 4400 2865 4384 1966 1909
171,4440 4219 2646 4389 4395 4384 2222 4234 4361 2886
172,4219 2646 4384 4440 4389 4308 2865 4395 4214 4387
173,4440 4219 2646 2865 4395 2204 3932 2886 4234 4400
174,1907 1909 4234 4328 4214 4396 4403 2698 4400 4219
175,4451 4214 2698 4440 4308 3478 4328 4234 4276 2886
176,4219 4440 2646 2865 4387 4389 4384 4234 1958 4400
177,1951 4219 4214 2646 4234 3467 4400 4396 4286 4328
178,1951 3467 4234 4320 4219 4328 2698 2943 2865 4451
179,3028 4423 4364 4232 2908 4372 4396 4219 3467 4318
180,4389 4219 2646 1951 4234 4214 4308 1909 2865 2665
181,4389 3565 2646 4219 4440 4308 1951 4361 4384 1966
182,4219 1909 4234 4387 2646 4440 1828 4389 4286 1958
183,1951 4234 3467 4214 4328 4219 3861 4400 2665 4320
184,4219 2646 2865 1966 4384 4361 4400 4234 4403 4532
185,1951 4214 4308 2646 4234 4219 4440 3467 4320 2698
186,4440 3254 2886 2894 4389 2222 3128 4219 4395 4307
187,4400 4219 2831 4384 2646 4234 4403 2865 1951 1966
188,4219 2865 4234 2646 4400 4387 4361 4308 1966 4440
189,4219 4400 2865 2646 4403 4387 1966 4384 4234 2831
190,4219 4361 1951 4384 3467 4400 4214 4395 4234 2095
191,1951 4234 4214 2698 4451 4532 3467 3995 2665 4400
192,4328 4286 4396 4234 1951 1909 4219 2646 4361 1966
193,2646 1958 4219 4403 1966 4400 4387 2865 4234 4361
194,1951 3467 4234 1907 3861 4328 4532 4396 4286 4320
195,4395 4219 4214 2646 4424 4389 2865 4400 4234 4308
196,4219 4387 4384 2646 4400 4214 4361 4395 4440 2831
197,4219 2646 4389 3565 4214 1951 4384 4395 4440 4361
198,1951 4214 4234 3467 4219 4440 4384 4361 2698 2665
199,4219 4361 4234 2865 4384 2646 1966 4387 1958 4218
200,4219 1966 2865 2646 4400 4384 4440 4395 4361 1958
201,4219 2865 4400 4387 1958 2204 2646 3932 4403 4440
202,4219 2646 4389 4440 4384 4396 3565 4214 2665 4320
203,4219 1966 4384 2646 4387 2865 4440 1958 4400 2831
204,4234 1909 4328 4396 1958 4219 4361 2646 4286 1907
205,1951 4234 4219 4214 4361 2646 2865 2698 4440 4384
206,4308 4234 4396 4361 4403 1951 4219 2646 4400 2943
207,4219 4214 4395 2646 4424 2665 4396 4389 4328 2698
208,4219 4387 1958 2865 2646 4384 4440 2665 1909 1966
209,1951 2646 4234 4214 4219 4361 4400 4328 2865 1966
210,4219 1909 2865 4234 4400 1951 4328 2646 4361 4384
211,2646 1966 4219 2865 4400 4384 4361 4440 4395 2894
212,4328 1951 4214 2665 4286 4234 2698 4219 4400 1907
213,4384 4389 2646 4219 4440 3565 1966 2865 4308 4234
214,4219 2646 4395 4214 4328 2865 1909 4400 1966 4384
215,1909 4328 4234 4219 4308 4396 1951 1907 2646 1958
216,4440 4451 4234 1951 3565 2886 4328 3254 4389 2646
217,4219 4214 2646 2698 4451 4234 4308 4400 1907 4276
218,4219 2646 4403 4440 4389 4384 4387 4361 2865 2948
219,4219 2646 4389 4308 1951 4396 4400 4384 4234 4361
220,4440 4395 4219 4389 1958 4234 2222 3254 4387 2220
221,4389 3565 4219 2646 4440 4308 4384 4361 2865 4307
222,1951 4234 4328 3467 4214 1907 4286 4396 4219 4451
223,4219 2646 1951 4389 4234 4440 4308 4361 4328 4384
224,4400 4219 1966 4387 2865 2646 4384 4308 4234 4396
225,4219 4234 4328 4440 2646 1951 4214 4400 4396 1909
226,4234 4328 1951 4219 2204 4440 3932 2908 3467 1909
227,4328 1907 4396 4234 1909 4286 1951 3467 4308 4219
228,4219 2865 2646 1966 4361 4400 4384 2831 4234 4395
229,4219 1958 4387 2646 1966 4384 2865 4361 4400 4218
230,4387 4219 1958 4400 2865 2646 4234 4384 4361 4440
231,4234 4328 1951 4219 4400 4308 4403 4286 4384 1909
232,4219 4387 2865 1966 2646 4384 1951 4400 4234 1909
233,1951 4234 4214 2698 3995 2665 4307 4440 3128 4364
234,4308 4234 4396 4219 4361 1951 4384 2698 4403 4395
235,4219 4387 2646 2865 4384 1966 4361 4403 2943 1958
236,4219 2865 4400 2646 1966 4361 4387 4234 4403 2831
237,1951 2646 4396 4219 4234 1966 4328 4361 4214 4384
238,4328 4234 1909 1951 4396 4286 4400 2665 4214 4133
239,4364 4423 4232 3028 1951 4219 2646 4307 4384 4214
240,4328 4286 4396 4234 1951 1907 4219 4400 4214 4361
241,4234 4328 1951 4396 1907 4219 4286 4308 1882 3565
242,4234 4328 1951 4219 4214 3467 1909 2646 4400 4308
243,4219 4361 4384 4400 4387 4234 4214 4440 4395 2865
244,1951 3467 4234 4214 4320 4219 2698 4308 2646 4396
245,4219 4387 2646 2865 1966 4384 1958 4389 4214 4395
246,4219 2865 1966 4400 2646 2831 4384 4387 4403 1958
247,4219 2646 4387 2865 4361 4384 2943 4440 1966 4234
248,4440 4451 4219 2886 1951 4234 4308 2894 4328 4396
249,4219 2646 4384 4387 2865 1966 4400 4440 4361 2886
250,1951 4308 4214 4234 4219 2698 3467 4396 2646 4384
251,4219 4384 2865 4308 4400 4328 4387 2646 1966 2886
252,4440 3254 4219 2894 2886 2646 4389 4214 4451 1951
253,4328 1909 4396 4234 4286 1951 4308 2665 4219 1958
254,1951 3467 4234 4214 2865 4219 4451 1961 2698 4328
255,4219 4400 1909 1958 4384 4328 2661 1836 4234 4440
256,2865 4219 1966 2646 4400 4384 4403 4361 4440 1958
257,4328 4286 4234 3889 2928 4451 4320 4361 2222 4384
258,4234 4308 2646 2665 4214 4328 4361 1951 4219 4396
259,4219 4400 2865 1966 2646 4384 2831 4234 4403 4387
260,1951 3467 4234 1909 4286 2698 4320 4214 4219 3861
261,4219 4387 4400 4384 1966 2865 2646 4403 2943 1958
262,1951 4234 4396 2646 4328 4403 4286 1907 2943 1909
263,4224 3993 4134 4440 4328 2204 3932 4276 2095 4234
264,3467 4328 4440 4361 4451 1909 4234 4219 2886 2222
265,4219 4387 4384 2646 4440 4400 4403 1966 4395 1958
266,4214 4451 2698 4234 3995 1909 4308 4400 4403 4219
267,4219 1966 4400 2865 4387 4403 4384 4532 2646 4308
268,4328 1909 4234 4396 1907 4308 2646 1899 1958 4361
269,4234 4451 4308 4361 4214 2698 4400 4219 3862 2646
270,4234 2646 1951 4403 1907 4219 4361 4286 1909 2665
271,1909 4328 4396 4234 1907 4286 4308 1958 4361 2646
272,4219 2646 2865 4387 4400 1966 4384 2831 1958 4218
273,1951 3467 4234 4328 4396 3861 4532 4320 4308 1907
274,4328 4396 4219 1951 4234 1909 1958 2646 4308 4286
275,4219 2646 2865 4384 4361 1951 1909 4440 4234 4328
276,4219 2646 4400 4387 2865 4384 1966 2831 4389 2886
277,4451 4214 2698 4234 4440 2646 4219 1951 4384 4389
278,4396 4328 4234 1909 1951 1907 3467 4384 2665 4286
279,4328 4396 1907 4286 3467 4403 4387 1909 4532 4361
280,4219 4328 2646 4234 4396 1909 1966 4440 4384 4361
281,4219 4440 4389 2646 1951 4361 4214 4384 4308 2222
282,4219 2646 4384 4234 4361 4308 4400 1966 4214 1951
283,4234 1951 4214 4328 4308 4219 4396 1909 2646 4286
284,2222 4008 4440 4214 4283 4395 2698 4389 4234 1951
285,4214 2698 3995 4234 1951 2665 4219 4400 2155 4451
286,4328 4234 1907 4396 1909 1951 4400 4286 4308 4219
287,1951 4234 4328 4286 4219 4400 1909 4224 4396 2865
288,1951 4214 2646 4396 4219 1907 4234 4308 2698 4395
289,4219 4234 2646 4400 1951 4387 4214 4384 1836 4308
290,4234 1951 4219 4308 2646 4403 1907 4286 4400 4396
291,4219 1966 2646 4400 1958 4387 4384 2865 4403 4440
292,4219 4400 2646 4387 2865 4403 1958 4234 1951 4361
293,4219 4389 2646 4308 4395 4214 2222 4396 4384 4440
294,4219 4395 2646 4387 4389 4214 4424 4384 4400 1966
295,4400 4219 2865 2831 1966 4387 4384 4440 2886 4403
296,1951 4219 4308 4214 4234 2646 4328 4361 4400 4451
297,4219 4308 4234 4396 4328 1951 2646 4384 4214 1899
298,4219 2865 1966 4361 4384 2646 4400 4234 1958 4532
299,4219 1966 2865 4361 2943 4384 1907 4400 2646 4234
300,4219 4234 1951 4308 4387 2646 4384 1909 4214 1960
301,4219 4440 2646 1951 4214 4234 4308 2865 4384 4387
302,4440 2222 4307 4451 3862 3254 4433 2886 1951 4328
303,4234 4361 4308 1909 4400 4219 4328 4286 1951 4396
304,4219 2646 1909 4234 4361 4440 3467 3889 4400 2222
305,4362 4433 4234 4328 4396 2196 2698 4286 4214 4451
306,4234 4328 1951 4219 3467 1909 4400 1776 2646 4286
307,4219 4307 1909 4361 4328 2222 4384 4320 4440 2665
308,1951 4234 3467 4286 4214 2698 4308 4395 4328 4320
309,4440 2698 4214 2886 2894 4219 4234 1951 3254 2204
310,1951 4328 4214 4396 4286 4234 2646 4219 3467 4384
311,4219 2865 2646 1966 4400 4384 4440 4214 4387 4423
312,4234 1951 4396 4328 4219 4214 4451 2698 4308 2646
313,1951 4234 4219 4214 4308 4396 1907 2698 3467 4400
314,4308 4396 4234 1951 4328 4214 2665 4219 1907 4400
315,1951 4214 4219 4234 4308 3467 4451 2646 4320 1961
316,4219 4400 1966 2646 4403 4234 4387 4308 2831 1907
317,1909 4328 4234 4396 4286 4400 1907 1958 4308 1901
318,4219 2646 1966 4387 4384 2865 1951 4214 4400 4308
319,4234 1951 4328 1909 4219 4286 3467 4396 1907 1899
320,4384 4219 4361 2646 2865 4387 2698 4234 4440 1966
321,4328 4396 1909 4234 4403 4308 3467 1907 4532 4219
322,1951 4400 1909 4234 4219 4384 2865 2646 1958 4395
323,4400 4219 1966 2646 4384 4234 2865 4308 4387 1951
324,2865 4219 2646 1966 1958 4387 4400 4384 4218 4440
325,1966 4400 4219 4387 2646 4384 4440 1958 4361 4532
326,4328 4396 1909 4234 4286 1951 3467 4214 2665 4384
327,4219 2646 4384 4389 4440 4361 2865 4387 4234 1909
328,4219 2646 4009 3843 2511 4234 1909 4395 4214 4361
329,4400 4219 4387 1966 4403 4384 2646 2865 4532 4308
330,1951 4214 2646 4219 4308 2665 3467 4234 4532 2865
331,4219 2646 4440 4384 4389 1951 2865 4395 4214 4400
332,1951 4214 4451 2698 4219 4234 1909 2665 4400 4308
333,1951 4234 4308 4214 4328 4219 4396 4440 2698 1899
334,4214 4451 2698 1951 4219 4308 4400 2665 2865 4387
335,1951 4214 4396 4286 4234 4219 3261 1966 4387 3467
336,4234 4328 4308 4396 1951 4214 4219 2646 1909 1958
337,4234 4219 1909 4361 4387 2646 4328 4396 2943 4400
338,4219 1951 4234 2698 4214 2646 4308 2865 1966 4400
339,4214 1951 4451 4234 2698 4219 4308 4361 2665 4400
340,4224 4219 4234 1907 1951 4451 4395 4400 4440 2646
341,4219 4387 2646 1966 2865 4384 4440 1958 4395 4400
342,4361 4219 2646 4234 1951 4328 4387 4400 4396 4133
343,4219 2646 4440 1951 4214 4234 2865 4395 3843 4361
344,4219 2646 4234 1951 4389 4328 4361 4214 4308 4396
345,4219 2646 4440 2865 1958 1966 4400 4384 4361 4389
346,1909 4387 4219 1958 4232 4440 4234 4423 2646 1951
347,4219 4387 1958 4400 2646 4403 2865 4384 4361 1966
348,4395 4219 4440 4384 4214 1958 4389 2646 4387 4308
349,4219 2646 4361 4384 2865 1966 4387 2943 4234 4440
350,2865 4219 1966 2646 4384 2886 4403 4387 4308 2894
351,4219 4234 4400 4403 1966 2646 4361 4387 2865 2831
352,4214 4219 4451 2698 4400 2865 1951 4328 4308 2665
353,3147 4219 4440 1951 3261 4234 4328 4384 3256 2886
354,4328 4396 1951 4234 4308 4286 1909 1901 4214 4219
355,4219 2646 4387 4440 4384 1966 4400 4389 4214 4395
356,4234 1909 4328 1951 4396 1958 4387 1901 4361 1899
357,4219 2646 4234 1951 4328 1909 4308 4389 4384 3565
358,4219 2865 4234 2646 4328 1958 1909 1951 4361 4214
359,4219 4400 1966 2865 2646 4403 4234 4384 4387 1958
360,1951 4234 4219 4328 4214 3467 4451 2698 2646 4320
361,2665 4214 4395 1909 4328 1958 4361 2698 4308 4286
362,1951 4361 4219 4400 4384 4234 4214 2865 1958 2646
363,2865 4219 1966 4384 2646 4400 4361 4218 4387 1776
364,4328 1907 1909 1951 4396 4234 4286 4219 4361 3467
365,4440 4451 2204 1951 3932 4307 3128 4328 2202 3595
366,4361 4400 4219 2865 4234 4403 2646 4387 4308 1909
367,4219 4384 1966 2646 4440 4328 2865 1951 4361 4234
368,4234 1951 4308 2698 4214 4403 1910 4396 1907 4532
369,4328 4234 1951 4308 1909 4396 1899 4286 1910 4219
370,1951 4234 1907 2646 4286 4403 4532 4214 2665 1899
371,1951 4440 4234 4328 4219 4451 4214 4400 4361 2865
372,4234 4396 4219 4328 2646 1951 4308 4387 1958 1909
373,4234 1951 1909 4214 2665 4219 2646 4395 4308 4361
374,4219 2865 4400 4234 2646 1966 1951 4214 4403 2831
375,1951 3467 4361 4219 2646 4234 4214 4389 4320 4440
376,4219 2865 1966 2646 4387 4395 4218 4214 2511 4389
377,4219 2646 2865 1951 4234 4361 4308 4400 4403 2222
378,1951 4234 4328 4308 4214 4396 4387 3467 1899 2665
379,4219 4384 2865 4214 4440 2646 4387 1966 2886 2894
380,4219 2646 1966 4400 2865 4403 4361 4384 1958 4387
381,4400 4219 2646 2865 4361 1966 4403 4234 4384 4532
382,4219 1909 2865 4400 4286 4328 4396 4234 4361 4308
383,2202 4440 4234 4451 3862 1951 4307 3128 2928 2646
384,4234 1951 3467 1909 4219 4214 4361 4396 4308 4328
385,1951 3467 4214 4219 4389 4234 2646 1966 4308 2865
386,4219 4384 2865 4400 2646 1966 4387 2831 4440 4361
387,1951 3467 4234 4214 2698 4308 4219 4396 4400 4451
388,4219 2646 4440 4361 4234 2865 4400 4389 4387 4384
389,1951 4234 4219 2646 2698 4403 1907 3467 4214 4400
390,4328 4318 2222 4219 4224 4395 1958 2646 4387 1951
391,4234 4396 4361 1951 4328 4286 1909 4400 2646 4219
392,4328 4234 1909 1951 4396 4308 2646 4361 4286 1899
393,4219 2646 1951 4214 4308 4396 4234 4440 2665 2865
394,1951 3467 4214 4234 4219 2948 4451 4328 4361 4396
395,4440 4276 4234 2095 2222 4395 1909 4219 4389 2646
396,4219 4389 2646 4214 4395 4384 1951 3565 4276 3026
397,1951 4234 4214 2698 4219 2646 4361 2665 4400 1958
398,4361 4395 4234 4400 4219 4403 4424 1909 2646 4387
399,4219 2865 2646 1966 4400 4384 4440 4361 2831 4214
400,4395 4219 4214 2646 4440 1966 4384 4424 4389 4400
401,4400 4219 4403 4387 2831 2865 2646 1966 4234 4532
402,4214 4451 2698 4219 2661 4387 4440 4395 1951 2646
403,4219 1966 2865 4384 4361 2646 4234 2886 3995 2894
404,4219 2646 1966 2865 4384 4400 4234 4214 4285 4332
405,4234 4328 3467 1951 4396 4286 4219 4308 4451 2646
406,4219 4387 4400 2646 2865 4384 4389 1966 4234 2831
407,4328 4286 4396 1899 4234 4214 1951 4308 4400 4532
408,4234 4219 4361 1966 4328 1958 2646 4387 1909 2865
409,1909 4234 4286 4396 4328 4403 1958 4387 3261 1951
410,4234 4219 4308 4361 1951 4403 1882 4286 1907 2698
411,4400 4361 2646 4403 4219 2511 4009 4387 2865 3843
412,4219 2646 4214 4395 1951 4389 4424 4308 4440 2865
413,4328 4396 4308 1909 1958 4234 4286 1910 4361 3889
414,4440 4328 4214 1951 4234 2886 4451 3254 2894 2243
415,1951 4328 4234 1909 4219 4396 1907 4214 3467 4308
416,4219 2865 2646 4440 1966 4400 4387 4384 1958 1951
417,4219 4214 3147 4451 2698 2646 4384 1966 1951 4400
418,4234 1909 1951 4328 1907 4286 3467 4396 4387 2698
419,4219 4400 2646 4308 4384 4387 2865 1966 4328 2886
420,4384 2646 4219 4389 1966 4234 4387 2865 4440 4361
421,2865 4219 4400 2646 1966 1951 4234 4403 4387 4308
422,4308 1951 4219 4234 2646 1958 4214 4328 4361 1909
423,4219 4440 2646 4384 1958 1966 4400 4387 4389 2865
424,4219 4361 4400 2865 1958 2646 4234 4387 1966 4214
425,1951 4214 2646 4219 2698 4234 1901 4361 4328 4384
426,4219 4440 2646 4384 4387 1958 4389 2865 1951 4214
427,1951 4234 4219 4395 4214 2646 2698 4328 3467 3478
428,4234 4308 1951 4361 4328 2646 4400 2865 1907 4424
429,1951 3467 4234 1907 4328 4396 4214 4308 4219 2698
430,4219 2865 1966 4387 2646 4400 1958 4384 4214 1951
431,2865 4219 4384 4361 2646 1966 4234 1951 4214 2696
432,1951 4234 4219 3467 4214 4400 4384 1958 4387 2646
433,1951 4234 4219 3467 2646 4328 1909 4403 4214 2698
434,4219 2646 4396 1907 4387 4328 4009 4214 2511 2865
435,4219 2646 4361 2865 4234 4400 4532 4403 1951 4214
436,4400 4219 4234 4308 1951 4387 4396 4403 4384 4532
437,4219 2646 4384 1966 2865 4214 4440 4387 4395 1951
